iter	Passed	Remaining
366	5041186	23804841
367	5041316	23727064
368	5041436	23649665
369	5041557	23572685
370	5041677	23496120
371	5041798	23419966
372	5041918	23344219
373	5042039	23268878
374	5042160	23193940
375	5042281	23119397
376	5042407	23045275
377	5042527	22971516
378	5042648	22898146
379	5042768	22825162
380	5042888	22752560
381	5043009	22680338
382	5043129	22608495
383	5043250	22537027
384	5043378	22465956
385	5043498	22395224
386	5043619	22324856
387	5043738	22254845
388	5043857	22185194
389	5043978	22115905
390	5044216	22047483
391	5044461	21979439
392	5044700	21911714
393	5044938	21844329
394	5045177	21777284
395	5045423	21710608
396	5045660	21644232
397	5045898	21578190
398	5046137	21512480
399	5046382	21447124
400	5046636	21382131
401	5046939	21317670
402	5047177	21253249
403	5047421	21189174
404	5047658	21125386
405	5047896	21061914
406	5048134	20998752
407	5048372	20935899
408	5048618	20873381
409	5048856	20811139
410	5049094	20749200
411	5049333	20687559
412	5049580	20626251
413	5049817	20565200
414	5050055	20504440
415	5050291	20443969
416	5050537	20383823
417	5050774	20323931
418	5051012	20264325
419	5051250	20205000
420	5052437	20149743
421	5053621	20094731
422	5054806	20039978
423	5055989	19985466
424	5057173	19931212
425	5058359	19877217
426	5059546	19823467
427	5060780	19770153
428	5061967	19716893
429	5063147	19663851
430	5064325	19611043
431	5065509	19558494
432	5066694	19506189
433	5067877	19454109
434	5069061	19402271
435	5070199	19350485
436	5071393	19299147
437	5072580	19248011
438	5073769	19197111
439	5074958	19146434
440	5076142	19095964
441	5077326	19045718
442	5078513	18995705
443	5079777	18946195
444	5080962	18896613
445	5082148	18847249
446	5083331	18798092
447	5084514	18749146
448	5085699	18700423
449	5086886	18651917
450	5089299	18608104
451	5091041	18562027
452	5093405	18518408
453	5095764	18474953
454	5098128	18431694
455	5100495	18388627
456	5102853	18345706
457	5104830	18301596
458	5107192	18259046
459	5109558	18216688
460	5111919	18174483
461	5114361	18132735
462	5116735	18090921
463	5119099	18049240
464	5121450	18007682
465	5123804	17966301
466	5126173	17925142
467	5128482	17883937
468	5129842	17839601
469	5132163	17798779
470	5134527	17758270
471	5136894	17717932
472	5139255	17677734
473	5141594	17637621
474	5143004	17594489
475	5145373	17554803
476	5147707	17515154
477	5150062	17475734
478	5152419	17436476
479	5154817	17397507
480	5158393	17362660
481	5160122	17321739
482	5167264	17299103
483	5179023	17291947
484	5190609	17284194
485	5202173	17276355
486	5206356	17244051
487	5208289	17204431
488	5218043	17190730
489	5229686	17183256
490	5241174	17175252
491	5252839	17167817
492	5255596	17131326
493	5258247	17094628
494	5269892	17087226
495	5281607	17080038
496	5293143	17072251
497	5304674	17064433
498	5306010	17023894
499	5309147	16989273
500	5320530	16981094
501	5331979	16973112
502	5343611	16965701
503	5355300	16958450
504	5356721	16918752
505	5360486	16886592
506	5372141	16879333
507	5383842	16872199
508	5395115	16863711
509	5406466	16855454
510	5410023	16822950
511	5411706	16784746
512	5418778	16763354
513	5441995	16791838
514	5465142	16819903
515	5488527	16848502
516	5492803	16818392
517	5494789	16781384
518	5504483	16767994
519	5527829	16796098
520	5550982	16823418
521	5574463	16851539
522	5577271	16817125
523	5579947	16782437
524	5598007	16794023
525	5621574	16821975
526	5644751	16848566
527	5667759	16874465
528	5669119	16835891
529	5672312	16802887
530	5694182	16825183
531	5717330	16851078
532	5740466	16876756
533	5763508	16901973
534	5764902	16863685
535	5768658	16832428
536	5791775	16857626
537	5814928	16882746
538	5838138	16907854
539	5861210	16932385
540	5864744	16900438
541	5866535	16863584
542	5873635	16842082
